2016-06-17,Ms.,Jill,Jackson,123 Main St,Apt. 183,Denver,CO,80302,303-123-4567,jill@fake.com,http://www.regis.edu,Web Developer,Regis University,mealpack,Jill,Jackson,MC,1234567891234560,5594,2016,12,Workshop A,Workshop D,Workshop G
2016-06-17,Mr.,John,Smith,150 S. Pennsylvania St.,,Denver,CO,80112,303-123-7896,JS@fake.com,http://www.regis.edu,IT Manager,Really Big Company,mealpack,John,Smith,V,2345678912345670,8975,2017,10,Workshop B,,Workshop I
2016-06-17,Dr.,Lucy,Robertson,2396 Apple Blossom Lane.,,Bentonville,AR,72703,303-222-3333,lrobertson@fake.com,http://www.regis.edu,Senior Developer,Walmart,dinnerday2,Lucy,Robertson,AE,3456789123456780,2659,2018,5,Workshop B,,Workshop G
2016-06-17,Mr.,Benjamin,Reyes,434 Rodeo Dr.,,Austin,TX,45678,303-111-2222,benreyes@fake.com,http://www.regis.edu,Quality Control Lead,Quality Is Us!,mealpack,Benjamin,Reyes,V,3456789123456780,5476,2019,4,Workshop A,Workshop F,Workshop H
2016-06-17,Dr.,Ada,Lovelace,3333 Regis Blvd Dr.,Office # 54,Denver,CO,80333,303-333-4444,ada@fake.com,http://www.regis.edu,Mathematician,Regis University,dinnerday2,Ada,Lovelace,MC,4567891234567890,2456,2016,8,Workshop B,,Workshop G
2016-06-17,Mr.,Bill,Gates,123 Microsoft Dr.,,Redmond,WA,80333,303-444-5555,bill@fake.com,http://www.regis.edu,Computer Programmer,Microsoft,mealpack,Bill,Gates,MC,9876543219876540,5232,2017,9,Workshop A,Workshop D,Workshop I
2016-06-17,Ms.,Corrinne,Yu,123 Microsoft Dr.,,Santa Monica,CA,12345,303-555-6666,corrine@fake.com,http://www.regis.edu,Game Programmer,Naughty Dog,dinnerday2,Corrinne,Yu,AE,6543216543216540,2745,2018,12,Workshop B,,Workshop I
2016-06-17,Dr.,Donald,Knuth,450 Serra Mall,,Standford,CA,94305,303-666-7777,donald@fake.com,http://www.regis.edu,Professor,Stanford University,dinnerday2,Donald,Knuth,V,7894563216547890,1575,2019,1,Workshop A,Workshop D,Workshop I
2016-06-17,Ms.,Audrey,Tang,123 Other Main St,,San Jose,CA,95132,303-777-8888,audrey@fake.com,http://www.regis.edu,Software Programmer,Pugs Project,mealpack,Audrey,Tang,V,7485296374156530,6815,2020,5,Workshop C,Workshop F,Workshop H
2016-06-17,Ms.,Jill2,Jackson,123 Main St,Apt. 183,Denver,CO,80302,303-123-4567,jill@fake.com,http://www.regis.edu,Web Developer,Regis University,mealpack,Jill2,Jackson,MC,1234567891234560,5594,2016,12,Workshop A,Workshop F,Workshop H
2016-06-17,Mr.,John2,Smith,150 S. Pennsylvania St.,,Denver,CO,80112,303-123-7896,JS@fake.com,http://www.regis.edu,IT Manager,Really Big Company,mealpack,John2,Smith,V,2345678912345670,8975,2017,10,Workshop B,,Workshop I
